depot_id,serial_no,depot_name,depot_mobile,depot_head_phone,depot_email
D001,1,ADOOR,9188933740,9188526727,adr@kerala.go
D002,2,ALAPPUZHA,9188933748,9495099905,alp@kerala.go
D003,3,ALUVA,9188933776,9188526743,alv@kerala.go
D004,4,ANAYARA,0471-2749400 (24 x 7),0,anr.ksrtc@kerala.go
D005,5,ANKAMALI,9188933778,9188526744,ank@kerala.g
D006,6,ARYANAD,0472-2853900 (24 x 7),0,ard@kerala.go
D007,7,ARYANKAVU,9188933727,0,ark@kerala.go
D008,8,ATTINGAL,9188933701,9188526718,atl@kerala.go
D009,9,BANGALORE,9188933820,0,bng.ksrtc@kerala
D010,10,CHADAYAMANGALAM,9188933728,9188526721,cdm@kerala.g
D011,11,CHALAKUDY,9188933791,9188526750,cld@kerala.go
D012,12,CHANGANASSERY,9188933757,9188526735,chr@kerala.go
D013,13,CHATHANNUR,9188933729,9188526722,cht@kerala.go
D014,14,CHENGANOOR,9188933750,9188526730,cgr@kerala.go
D015,15,CHERTHALA,9188933751,9495099905,ctl@kerala.go
D016,16,CHITOOR,0492-3227488 (24 x 7),9188526754,ctr@kerala.go
D017,17,EDATHUVA,9188933752,9188526732,edt@kerala.go
D018,18,EENCHAKKAL,0471-2501180 (24 x 7),0,ekl@kerala.go
D019,19,EERATTUPETTAH,0482-2272230 (24 x 7),9188526737,etp@kerala.go
D020,20,ERNAKULAM,0484-2372033 (24 x 7),9495099908,ekm@kerala.g
D021,21,ERUMELY,0482-8212345 (24 x 7),9188526735,emy@kerala.g
D022,22,GURUVAYOOR,9188933792,9188526751,gvr@kerala.go
D023,23,HARIPPAD,9188933753,9188526732,hpd@kerala.g
D024,24,IRINJALAKKUDA,9188933793,9188526750,ijk@kerala.go
D025,25,KALPETTA,0493-6202611 (24 x 7),9495099914,kpt@kerala.go
D026,26,KANHANGAD,0467-2200055 (24 x 7),9188526750,khd@kerala.g
D027,27,KANIYAPURAM,9188933703,9188526719,kpm@kerala.g
D028,28,KANNUR,9188933822,9495099915,knr@kerala.go
D029,29,KARUNAGAPALLY,9188933730,9188526723,knp@kerala.g
D030,30,KASARAGOD,9188933826,9495099916,kgd@kerala.g
D031,31,KATTAKADA,9188933705,9188526707,ktd@kerala.go
D032,32,KATTAPPANA,0486-8252333 (24 x 7),9188526740,ktp@kerala.go
D033,33,KAYAMKULAM,9188933754,9188526733,kym@kerala.g
D034,34,KILIMANOOR,0470-2672217 (24 x 7),9188526717,kmr@kerala.g
D035,35,KODUNGALOOR,9188933794,9847181285,kdr@kerala.go
D036,36,KOLLAM,9188933731,9495099903,klm@kerala.g
D037,37,KONNI,9188933741,9495099904,kni@kerala.go
D038,38,KOOTHATTUKULAM,9188933782,9188526739,kkm@kerala.g
D039,39,KOTHAMANGALAM,0485-2862202 (24 x 7),9188526745,kmg@kerala.g
D040,40,KOTTARAKKARA,9188933732,9188526724,ktr@kerala.go
D041,41,KOTTAYAM,0481-2562908 (24 x 7),9495099906,ktm@kerala.g
D042,42,KOZHIKODE,0495-2723796 (24 x 7),9495099913,kkd@kerala.g
D043,43,KULATHUPUZHA,9188933734,9188526726,klp@kerala.go
D044,44,KUMALY,9188933769,9188526741,kmy@kerala.g
D045,45,MALA,0480-2890438 (24 x 7),9188526753,mla@kerala.g
D046,46,MALAPPURAM,9188933803,9495099912,mlp@kerala.g
D047,47,MALLAPALLY,9188933742,9188526728,mpy@kerala.g
D048,48,MANANTHAVADY,0493-5240640 (24 x 7),9188526760,mnd@kerala.g
D049,49,MANNARGHAT,9188933799,9188526757,mkd@kerala.g
D050,50,MAVELIKARA,9188933756,9188526733,mvk@kerala.g
D051,51,MOOLAMATTOM,9188933770,9495099907,mlt@kerala.go
D052,52,MOOVATTUPUZHA,0485-2832321 (24 x 7),9188526746,mvp@kerala.g
D053,53,MUNNAR,9188933771,9495099907,mnr@kerala.g
D054,54,NEDUMANGAD,0472-2812235 (24 x 7),9188526709,ndd@kerala.g
D055,55,NEDUMKANDAM,04868-234533 (24 x 7),9188526740,ndm.ksrtc@keral
D056,56,NEYYATINKARA,9188933708,9188526706,nta@kerala.go
D057,57,NILAMBUR,9188933805,9495099912,nbr@kerala.go
D058,58,NORTH PARAVUR,9188933787,9188526743,npr@kerala.go
D059,59,PALA,9188933762,9188526737,pla@kerala.g
D060,60,PALAKKAD,9188933800,9188526757,plk@kerala.g
D061,61,PALODE,0472-2840259 (24 x 7),9188526709,pld@kerala.go
D062,62,PAMBA,0473-5203445 (24 x 7),0,sopba@kerala.
D063,63,PANDALAM,9188933743,7907489423,pdm@kerala.g
D064,64,PAPPANAMCODE,9188933710,9188526714,ppd@kerala.g
D065,65,PARASSALA,0471-2202058 (24 x 7),9188526705,psl@kerala.go
D066,66,PATHANAMTHITTA,9188933744,9495099904,pta@kerala.go
D067,67,PATHANAPURAM,9188933735,9188526725,ppm@kerala.g
D068,68,PAYYANUR,0498-5203062 (24 x 7),9188526762,pnr@kerala.go
D069,69,PERINTHAMANNA,9188933806,9495099910,pmn@kerala.g
D070,70,PEROORKADA,9188933715,9497878037,prk@kerala.go
D071,71,PERUMBAVOOR,0484-2523416 (24 x 7),9188526748,pbr@kerala.g
D072,72,PIRAVOM,9188933790,9188526749,pvm@kerala.g
D073,73,PONKUNNAM,0482-8221333 (24 x 7),9188526735,pnk@kerala.g
D074,74,PONNANI,9188933807,9495099910,pni@kerala.go
D075,75,POOVAR,9188933716,9188526713,pvr@kerala.go
D076,76,PUNALUR,9188933736,9188526726,plr@kerala.go
D077,77,PUTHUKKADU,9188933796,9188526751,pdk@kerala.g
D078,78,RANNI,9188933745,9495099904,rni@kerala.g
D079,79,SULTHANBATHERY,9188933819,9495099914,sby@kerala.g
D080,80,THALASSERY,9188933824,9188526763,tly@kerala.go
D081,81,THAMARASSERY,9188933811,9188526758,tsy@kerala.go
D082,82,THIRUVALLA,9188933746,9188526729,tvl@kerala.go
D083,83,THIRUVAMBADY,9188933812,9188526758,tdy@kerala.go
D084,84,THODUPUZHA,9188933775,9495099907,tdp@kerala.go
D085,85,THOTTILPALAM,9188933813,9188526759,tpm@kerala.g
D086,86,THRISSUR,9188933797,9495099909,tsr@kerala.go
D087,87,TVM CENTRAL,9188933717,9495099902,tvm@kerala.g
D088,88,TVM CITY,9188933718,9495099901,cty@kerala.go
D089,89,VADAKARA,9188933814,9188526759,vka@kerala.g
D090,90,VADAKKANCHERY,9188933802,9188526754,vdk@kerala.g
D091,91,VAIKOM,9188933765,9188526739,vkm@kerala.g
D092,92,VELLANAD,0472-2884686 (24 x 7),9188526707,vnd@kerala.g
D093,93,VELLARADA,9188933721,9188526706,vrd@kerala.go
D094,94,VENJARAMOODU,9188933722,9188526720,vjd@kerala.go
D095,95,VIKASBHAVAN,9188933726,9188526715,vkb@kerala.g
D096,96,VITHURA,9188933724,9188526709,vtr@kerala.go
D097,97,VIZHINJAM,9188933725,9188526712,vzm@kerala.g
