bus_id,depot_id,bus_number,registration_number,bus_type,status,data_source
B0001,D001,ADOOR-BUS-01,MOCK-KL-01-001,ORDINARY,ACTIVE,MOCK
B0002,D001,ADOOR-BUS-02,MOCK-KL-01-002,ORDINARY,ACTIVE,MOCK
B0003,D001,ADOOR-BUS-03,MOCK-KL-01-003,ORDINARY,ACTIVE,MOCK
B0004,D002,ALAPPUZH-BUS-01,MOCK-KL-02-001,ORDINARY,ACTIVE,MOCK
B0005,D002,ALAPPUZH-BUS-02,MOCK-KL-02-002,ORDINARY,ACTIVE,MOCK
B0006,D002,ALAPPUZH-BUS-03,MOCK-KL-02-003,ORDINARY,ACTIVE,MOCK
B0007,D003,ALUVA-BUS-01,MOCK-KL-03-001,ORDINARY,ACTIVE,MOCK
B0008,D003,ALUVA-BUS-02,MOCK-KL-03-002,ORDINARY,ACTIVE,MOCK
B0009,D003,ALUVA-BUS-03,MOCK-KL-03-003,ORDINARY,ACTIVE,MOCK
B0010,D004,ANAYARA-BUS-01,MOCK-KL-04-001,ORDINARY,ACTIVE,MOCK
B0011,D004,ANAYARA-BUS-02,MOCK-KL-04-002,ORDINARY,ACTIVE,MOCK
B0012,D004,ANAYARA-BUS-03,MOCK-KL-04-003,ORDINARY,ACTIVE,MOCK
B0013,D005,ANKAMALI-BUS-01,MOCK-KL-05-001,ORDINARY,ACTIVE,MOCK
B0014,D005,ANKAMALI-BUS-02,MOCK-KL-05-002,ORDINARY,ACTIVE,MOCK
B0015,D005,ANKAMALI-BUS-03,MOCK-KL-05-003,ORDINARY,ACTIVE,MOCK
B0016,D006,ARYANAD-BUS-01,MOCK-KL-06-001,ORDINARY,ACTIVE,MOCK
B0017,D006,ARYANAD-BUS-02,MOCK-KL-06-002,ORDINARY,ACTIVE,MOCK
B0018,D006,ARYANAD-BUS-03,MOCK-KL-06-003,ORDINARY,ACTIVE,MOCK
B0019,D007,ARYANKAV-BUS-01,MOCK-KL-07-001,ORDINARY,ACTIVE,MOCK
B0020,D007,ARYANKAV-BUS-02,MOCK-KL-07-002,ORDINARY,ACTIVE,MOCK
B0021,D007,ARYANKAV-BUS-03,MOCK-KL-07-003,ORDINARY,ACTIVE,MOCK
B0022,D008,ATTINGAL-BUS-01,MOCK-KL-08-001,ORDINARY,ACTIVE,MOCK
B0023,D008,ATTINGAL-BUS-02,MOCK-KL-08-002,ORDINARY,ACTIVE,MOCK
B0024,D008,ATTINGAL-BUS-03,MOCK-KL-08-003,ORDINARY,ACTIVE,MOCK
B0025,D009,BANGALOR-BUS-01,MOCK-KL-09-001,ORDINARY,ACTIVE,MOCK
B0026,D009,BANGALOR-BUS-02,MOCK-KL-09-002,ORDINARY,ACTIVE,MOCK
B0027,D009,BANGALOR-BUS-03,MOCK-KL-09-003,ORDINARY,ACTIVE,MOCK
B0028,D010,CHADAYAM-BUS-01,MOCK-KL-10-001,ORDINARY,ACTIVE,MOCK
B0029,D010,CHADAYAM-BUS-02,MOCK-KL-10-002,ORDINARY,ACTIVE,MOCK
B0030,D010,CHADAYAM-BUS-03,MOCK-KL-10-003,ORDINARY,ACTIVE,MOCK
B0031,D011,CHALAKUD-BUS-01,MOCK-KL-11-001,ORDINARY,ACTIVE,MOCK
B0032,D011,CHALAKUD-BUS-02,MOCK-KL-11-002,ORDINARY,ACTIVE,MOCK
B0033,D011,CHALAKUD-BUS-03,MOCK-KL-11-003,ORDINARY,ACTIVE,MOCK
B0034,D012,CHANGANA-BUS-01,MOCK-KL-12-001,ORDINARY,ACTIVE,MOCK
B0035,D012,CHANGANA-BUS-02,MOCK-KL-12-002,ORDINARY,ACTIVE,MOCK
B0036,D012,CHANGANA-BUS-03,MOCK-KL-12-003,ORDINARY,ACTIVE,MOCK
B0037,D013,CHATHANN-BUS-01,MOCK-KL-13-001,ORDINARY,ACTIVE,MOCK
B0038,D013,CHATHANN-BUS-02,MOCK-KL-13-002,ORDINARY,ACTIVE,MOCK
B0039,D013,CHATHANN-BUS-03,MOCK-KL-13-003,ORDINARY,ACTIVE,MOCK
B0040,D014,CHENGANO-BUS-01,MOCK-KL-14-001,ORDINARY,ACTIVE,MOCK
B0041,D014,CHENGANO-BUS-02,MOCK-KL-14-002,ORDINARY,ACTIVE,MOCK
B0042,D014,CHENGANO-BUS-03,MOCK-KL-14-003,ORDINARY,ACTIVE,MOCK
B0043,D015,CHERTHAL-BUS-01,MOCK-KL-15-001,ORDINARY,ACTIVE,MOCK
B0044,D015,CHERTHAL-BUS-02,MOCK-KL-15-002,ORDINARY,ACTIVE,MOCK
B0045,D015,CHERTHAL-BUS-03,MOCK-KL-15-003,ORDINARY,ACTIVE,MOCK
B0046,D016,CHITOOR-BUS-01,MOCK-KL-16-001,ORDINARY,ACTIVE,MOCK
B0047,D016,CHITOOR-BUS-02,MOCK-KL-16-002,ORDINARY,ACTIVE,MOCK
B0048,D016,CHITOOR-BUS-03,MOCK-KL-16-003,ORDINARY,ACTIVE,MOCK
B0049,D017,EDATHUVA-BUS-01,MOCK-KL-17-001,ORDINARY,ACTIVE,MOCK
B0050,D017,EDATHUVA-BUS-02,MOCK-KL-17-002,ORDINARY,ACTIVE,MOCK
B0051,D017,EDATHUVA-BUS-03,MOCK-KL-17-003,ORDINARY,ACTIVE,MOCK
B0052,D018,EENCHAKK-BUS-01,MOCK-KL-18-001,ORDINARY,ACTIVE,MOCK
B0053,D018,EENCHAKK-BUS-02,MOCK-KL-18-002,ORDINARY,ACTIVE,MOCK
B0054,D018,EENCHAKK-BUS-03,MOCK-KL-18-003,ORDINARY,ACTIVE,MOCK
B0055,D019,EERATTUP-BUS-01,MOCK-KL-19-001,ORDINARY,ACTIVE,MOCK
B0056,D019,EERATTUP-BUS-02,MOCK-KL-19-002,ORDINARY,ACTIVE,MOCK
B0057,D019,EERATTUP-BUS-03,MOCK-KL-19-003,ORDINARY,ACTIVE,MOCK
B0058,D020,ERNAKULA-BUS-01,MOCK-KL-20-001,ORDINARY,ACTIVE,MOCK
