assignment_id,depot_id,bus_id,route_id,conductor_id,duty_date,shift_name,shift_start,shift_end,assignment_status,data_source
DA00001,D001,B0001,R0001,C0001,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00002,D001,B0001,R0001,C0002,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00003,D001,B0001,R0001,C0003,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00004,D001,B0002,R0002,C0004,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00005,D001,B0002,R0002,C0005,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00006,D001,B0002,R0002,C0006,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00007,D001,B0003,R0003,C0007,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00008,D001,B0003,R0003,C0008,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00009,D001,B0003,R0003,C0009,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00010,D002,B0004,R0004,C0010,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00011,D002,B0004,R0004,C0011,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00012,D002,B0004,R0004,C0012,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00013,D002,B0005,R0005,C0013,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00014,D002,B0005,R0005,C0014,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00015,D002,B0005,R0005,C0015,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00016,D002,B0006,R0006,C0016,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00017,D002,B0006,R0006,C0017,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00018,D002,B0006,R0006,C0018,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00019,D003,B0007,R0007,C0019,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00020,D003,B0007,R0007,C0020,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00021,D003,B0007,R0007,C0021,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00022,D003,B0008,R0008,C0022,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00023,D003,B0008,R0008,C0023,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00024,D003,B0008,R0008,C0024,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00025,D003,B0009,R0009,C0025,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00026,D003,B0009,R0009,C0026,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00027,D003,B0009,R0009,C0027,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00028,D004,B0010,R0010,C0028,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
DA00029,D004,B0010,R0010,C0029,2026-09-23,EVENING,14:00,22:00,SCHEDULED,MOCK
DA00030,D004,B0010,R0010,C0030,2026-09-23,NIGHT,22:00,06:00,SCHEDULED,MOCK
DA00031,D004,B0011,R0011,C0031,2026-09-23,MORNING,06:00,14:00,SCHEDULED,MOCK
